cancer_code,fusion_family,gene_5prime,gene_5prime_ensembl_id,gene_5prime_kind,gene_5prime_family,gene_3prime,gene_3prime_ensembl_id,gene_3prime_kind,gene_3prime_family,frequency,is_defining,pathognomonic,rnaseq_detectable,mechanism,confidence,pmid,notes
SARC_EWS,EWSR1-ETS,EWSR1,ENSG00000182944,gene,FET,FLI1,ENSG00000151702,gene,ETS,~85%,true,true,yes,fusion_transcript,high,PMID:1522903,Ewing sarcoma; t(11;22)(q24;q12); most common partner
SARC_EWS,EWSR1-ETS,EWSR1,ENSG00000182944,gene,FET,ERG,ENSG00000157554,gene,ETS,~10%,true,true,yes,fusion_transcript,high,PMID:8162068,t(21;22)(q22;q12); second most common ETS partner
SARC_EWS,EWSR1-ETS,EWSR1,ENSG00000182944,gene,FET,ETV1,ENSG00000006468,gene,ETS,rare,true,true,yes,fusion_transcript,medium,PMID:7700648,rare ETS variant fusion
SARC_EWS,EWSR1-ETS,EWSR1,ENSG00000182944,gene,FET,ETV4,ENSG00000175832,gene,ETS,rare,true,true,yes,fusion_transcript,medium,PMID:9858836,rare ETS variant fusion (also called E1AF)
SARC_EWS,EWSR1-ETS,EWSR1,ENSG00000182944,gene,FET,FEV,ENSG00000163497,gene,ETS,rare,true,true,yes,fusion_transcript,medium,PMID:31756779,rare ETS variant fusion
SARC_EWS,FUS-ETS,FUS,ENSG00000089280,gene,FET,ERG,ENSG00000157554,gene,ETS,rare,true,true,yes,fusion_transcript,medium,PMID:12907633,FET-family alternative (FUS instead of EWSR1)
SARC_SYN,SS18-SSX,SS18,ENSG00000141380,gene,,SSX1,ENSG00000126752,gene,SSX,~65%,true,true,yes,fusion_transcript,high,PMID:7951320,synovial sarcoma; t(X;18)(p11;q11); SSX1 more common in biphasic
SARC_SYN,SS18-SSX,SS18,ENSG00000141380,gene,,SSX2,ENSG00000241476,gene,SSX,~35%,true,true,yes,fusion_transcript,high,PMID:7951320,SSX2 tends monophasic
SARC_SYN,SS18-SSX,SS18,ENSG00000141380,gene,,SSX4,ENSG00000268009,gene,SSX,rare,true,true,yes,fusion_transcript,medium,PMID:11368913,rare third partner
SARC_DSRCT,EWSR1-WT1,EWSR1,ENSG00000182944,gene,FET,WT1,ENSG00000184937,gene,zinc-finger TF,~95%,true,true,yes,fusion_transcript,high,PMID:7862627,desmoplastic small round cell tumor; t(11;22)(p13;q12)
SARC_ASPS,ASPSCR1-TFE3,ASPSCR1,ENSG00000169696,gene,,TFE3,ENSG00000068323,gene,MiT/TFE,~95%,true,false,surrogate,fusion_transcript,high,PMID:17543078,alveolar soft part sarcoma; der(17)t(X;17); ASPL=ASPSCR1; TFE3 IHC surrogate
SARC_CCS,EWSR1-ATF1,EWSR1,ENSG00000182944,gene,FET,ATF1,ENSG00000123268,gene,bZIP(CREB/ATF),~90%,true,true,yes,fusion_transcript,high,PMID:19561568,clear cell sarcoma (melanoma of soft parts); t(12;22)(q13;q12)
SARC_CCS,EWSR1-CREB1,EWSR1,ENSG00000182944,gene,FET,CREB1,ENSG00000118260,gene,bZIP(CREB/ATF),minority,true,false,yes,fusion_transcript,medium,PMID:19561568,variant; also seen in GI clear cell sarcoma-like / angiomatoid FH
SARC_IFS,ETV6-NTRK3,ETV6,ENSG00000139083,gene,ETS,NTRK3,ENSG00000140538,gene,RTK,common,false,false,yes,fusion_transcript,high,PMID:9462753,common IFS driver but not universal and not inferred from diagnosis; t(12;15)(p13;q25); TRK-inhibitor responsive
SARC_IFS,EML4-NTRK3,EML4,ENSG00000143924,gene,,NTRK3,ENSG00000140538,gene,RTK,rare,false,false,yes,fusion_transcript,high,PMID:29915264,observed molecularly confirmed IFS driver; entity assignment still requires compatible age site and pathology
CMN,ETV6-NTRK3,ETV6,ENSG00000139083,gene,ETS,NTRK3,ENSG00000140538,gene,RTK,cellular subset,false,false,yes,fusion_transcript,high,PMID:29915264,observed in cellular congenital mesoblastic nephroma; CMN remains distinct from soft-tissue IFS
CMN,LMNA-NTRK1,LMNA,ENSG00000160789,gene,,NTRK1,ENSG00000198400,gene,RTK,rare,false,false,yes,fusion_transcript,high,PMID:29915264,observed in one cellular CMN
CMN,TPR-NTRK1,TPR,ENSG00000047410,gene,,NTRK1,ENSG00000198400,gene,RTK,rare,false,false,yes,fusion_transcript,high,PMID:29915264,observed in one mixed CMN
CMN,KIAA1549-BRAF,KIAA1549,ENSG00000122778,gene,,BRAF,ENSG00000157764,gene,RAF kinase,rare,false,false,yes,fusion_transcript,high,PMID:29915264,observed in one mixed CMN
SARC_EHE,WWTR1-CAMTA1,WWTR1,ENSG00000018408,gene,Hippo coactivator,CAMTA1,ENSG00000171735,gene,,~90%,true,true,yes,fusion_transcript,high,PMID:21885404,epithelioid hemangioendothelioma; t(1;3); WWTR1=TAZ; CAMTA1 IHC surrogate
SARC_EHE,YAP1-TFE3,YAP1,ENSG00000137693,gene,Hippo coactivator,TFE3,ENSG00000068323,gene,MiT/TFE,minority,true,false,surrogate,fusion_transcript,high,PMID:23737213,distinct EHE subset; TFE3 IHC surrogate; YAP1-TFE3 variant
SARC_LGFMS,FUS-CREB3L2,FUS,ENSG00000089280,gene,FET,CREB3L2,ENSG00000182158,gene,bZIP(CREB/ATF),~90%,true,true,yes,fusion_transcript,high,PMID:15139001,low-grade fibromyxoid sarcoma; t(7;16)(q33;p11)
SARC_LGFMS,FUS-CREB3L1,FUS,ENSG00000089280,gene,FET,CREB3L1,ENSG00000157613,gene,bZIP(CREB/ATF),minority,true,true,yes,fusion_transcript,medium,PMID:15640831,variant translocation t(11;16)
SARC_LGFMS,EWSR1-CREB3L1,EWSR1,ENSG00000182944,gene,FET,CREB3L1,ENSG00000157613,gene,bZIP(CREB/ATF),rare,true,true,yes,fusion_transcript,medium,PMID:23588368,rare FET-family variant
SARC_EMC,EWSR1-NR4A3,EWSR1,ENSG00000182944,gene,FET,NR4A3,ENSG00000119508,gene,nuclear receptor,~60%,true,true,yes,fusion_transcript,high,PMID:18855877,extraskeletal myxoid chondrosarcoma; t(9;22)(q22;q12); NR4A3=CHN/TEC/NOR1
SARC_EMC,TAF15-NR4A3,TAF15,ENSG00000270647,gene,FET,NR4A3,ENSG00000119508,gene,nuclear receptor,~30%,true,true,yes,fusion_transcript,high,PMID:24746215,TAF15=TAF2N/RBP56; t(9;17)
SARC_EMC,TCF12-NR4A3,TCF12,ENSG00000140262,gene,bHLH,NR4A3,ENSG00000119508,gene,nuclear receptor,rare,true,true,yes,fusion_transcript,medium,PMID:24746215,rare variant; t(9;15)
SARC_SFT,NAB2-STAT6,NAB2,ENSG00000166886,gene,,STAT6,ENSG00000166888,gene,STAT,~95%,true,true,surrogate,fusion_transcript,high,PMID:23313952,solitary fibrous tumor; intrachromosomal 12q13 inversion; nuclear STAT6 IHC surrogate; intronic breakpoints can miss in RNA
SARC_IMT,TPM3-ALK,TPM3,ENSG00000143549,gene,tropomyosin,ALK,ENSG00000171094,gene,RTK,common,true,true,surrogate,fusion_transcript,high,PMID:10934142,inflammatory myofibroblastic tumor; ALK IHC surrogate; ALK-inhibitor responsive
SARC_IMT,TPM4-ALK,TPM4,ENSG00000167460,gene,tropomyosin,ALK,ENSG00000171094,gene,RTK,minority,true,true,surrogate,fusion_transcript,medium,PMID:10934142,IMT ALK partner
SARC_IMT,EML4-ALK,EML4,ENSG00000143924,gene,,ALK,ENSG00000171094,gene,RTK,minority,true,false,surrogate,fusion_transcript,medium,PMID:24277751,IMT ALK partner
SARC_IMT,RANBP2-ALK,RANBP2,ENSG00000153201,gene,,ALK,ENSG00000171094,gene,RTK,minority,true,true,surrogate,fusion_transcript,medium,PMID:24034896,epithelioid inflammatory myofibroblastic sarcoma; aggressive variant
SARC_IMT,CARS1-ALK,CARS1,ENSG00000110619,gene,,ALK,ENSG00000171094,gene,RTK,minority,true,true,surrogate,fusion_transcript,medium,PMID:13679433,ALK-rearranged IMT subset (CARS=CARS1)
SARC_IMT,ETV6-NTRK3,ETV6,ENSG00000139083,gene,ETS,NTRK3,ENSG00000140538,gene,RTK,rare,true,false,yes,fusion_transcript,medium,PMID:26647767,NTRK-rearranged IMT subset
SARC_IMT,TFG-ROS1,TFG,ENSG00000114354,gene,,ROS1,ENSG00000047936,gene,RTK,rare,true,true,surrogate,fusion_transcript,low,PMID:26647767,ROS1 partner reported in IMT
SARC_DFSP,COL1A1-PDGFB,COL1A1,ENSG00000108821,gene,collagen,PDGFB,ENSG00000100311,gene,growth factor,~90%,true,true,surrogate,fusion_transcript,high,PMID:31949795,dermatofibrosarcoma protuberans; supernumerary ring chr from t(17;22); PDGFB overexpression; imatinib responsive
SARC_MYXLPS,FUS-DDIT3,FUS,ENSG00000089280,gene,FET,DDIT3,ENSG00000175197,gene,bZIP(C/EBP),~90%,true,true,yes,fusion_transcript,high,PMID:16651630,myxoid/round cell liposarcoma; t(12;16)(q13;p11); DDIT3=CHOP
SARC_MYXLPS,EWSR1-DDIT3,EWSR1,ENSG00000182944,gene,FET,DDIT3,ENSG00000175197,gene,bZIP(C/EBP),minority,true,true,yes,fusion_transcript,medium,PMID:17647282,variant t(12;22)
SARC_PEC,SFPQ-TFE3,SFPQ,ENSG00000116560,gene,,TFE3,ENSG00000068323,gene,MiT/TFE,minority,false,false,surrogate,fusion_transcript,medium,PMID:40239600,PEComa TFE3-rearranged subset; SFPQ=PSF; TFE3 IHC surrogate; most PEComas are TSC1/2-driven not fusion
SARC_PEC,DVL2-TFE3,DVL2,ENSG00000004975,gene,,TFE3,ENSG00000068323,gene,MiT/TFE,rare,false,false,surrogate,fusion_transcript,low,PMID:25651471,rare PEComa TFE3 partner
SARC_RMS_ARMS,PAX3-FOXO1,PAX3,ENSG00000135903,gene,PAX,FOXO1,ENSG00000150907,gene,FOX,~70%,true,true,yes,fusion_transcript,high,PMID:8275086,alveolar rhabdomyosarcoma; t(2;13)(q35;q14); worse prognosis than PAX7
SARC_RMS_ARMS,PAX7-FOXO1,PAX7,ENSG00000009709,gene,PAX,FOXO1,ENSG00000150907,gene,FOX,~20%,true,true,yes,fusion_transcript,medium,PMID:8187070,"t(1;13)(p36;q14); younger, better outcome; FOXO1=FKHR"
SARC_RMS_SSRMS,VGLL2-NCOA2,VGLL2,ENSG00000170162,gene,vestigial-like,NCOA2,ENSG00000140396,gene,NR coactivator,subset,true,true,yes,fusion_transcript,medium,PMID:26501226,infantile spindle cell/sclerosing RMS; congenital subset
